Metric,Card Name,"Jan 12 2025, 12:00AM - Jan 7 2026, 8:39AM","Jan 19 2025, 12:00AM - Jan 14 2026, 8:39AM"
Total Events of Sent,1809_Have the Best Birthday Ever Paper&Stuff,6373,6186
Total Events of Sent,1997_Yay Happy Birthday Spaghetti & Meatballs,5690,5723
Total Events of Sent,1996_Hope your Birthday is Sprinkled With Joy Spaghetti & Meatballs,4314,4029
Total Events of Sent,1872_Make A Wish Karen Schipper,3694,3600
Total Events of Sent,2332_Birthday Wishes Melanie Johnsson,3133,3300
Total Events of Sent,1160_Happy Birthday Priyanka Darlin' Spotted,2611,2505
Total Events of Sent,1698_Aviva Atri Birthday Cake,2405,2377
Total Events of Sent,1565_happy mothers Day Karen Schipper,2026,2026
Total Events of Sent,192_Hey You HBD Poketo,1958,1945
Total Events of Sent,1808_Happy Birthday Paper&Stuff Gradient,1910,1847
Total Events of Sent,652_Happy Birthday jordan gadeke Balloon,1855,1865
Total Events of Sent,1342_Happy Birthday Moses Kruschat,1721,1654
Total Events of Sent,1728_You Deserve A Treat Jillian Goeler,1680,1647
Total Events of Sent,900_Happy Birthday Candles Oscar Tapeswing,1644,1593
Total Events of Sent,2075_Its Your Birthday Sip Back and Relax Amy Zhang,1599,1655
Total Events of Sent,2334_Happy Bday Doggy Melanie Johnsson,1578,1619
Total Events of Sent,2118_Happy Birthday Dicky Bird,1575,1602
Total Events of Sent,1161_Thank You Priyanka Darlin' Spotted,1561,1540
Total Events of Sent,2392_Merry Christmas Jumble - Green Paper Co.,1497,1499
Total Events of Sent,1114_Birth Yay! paper&co,1468,1445
Total Events of Sent,1543_Happy Bday Dawg Antonay Studio,1449,1436
Total Events of Sent,1621_Older Bud Wiser Rumble Cards Happy Birthday,1419,1418
Total Events of Sent,1007_Happy Birthday AliRae Aguirre Floral,1373,1368
Total Events of Sent,2099_Happy Birthday Meinhass Archives,1356,1380
Total Events of Sent,1191_Bday Candles Milk Bar Animation,1301,1285
Total Events of Sent,1643_Happy Bday Priyanka Darlin,1232,1143
Total Events of Sent,1369_Let Us Eat Cake Hemlock House Studio Cakes,1227,1209
Total Events of Sent,1060_Another Trip Around The Sun Adelfi,1216,1276
Total Events of Sent,1100_Hope Your Birthday Is Jam-Packed With Love Amy Zhang Bread and Jam,1185,1192
Total Events of Sent,1667_Happy Birthday Dicky Bird Spray Paint,1165,1154
Total Events of Sent,1560_Happy Mother's Day Dicky Bird,1163,1163
Total Events of Sent,1712_A Little Something For You Amy Zhang,1153,1254
Total Events of Sent,1383_Birthday Wishes Faye Guanipa Floral,1151,1126
Total Events of Sent,1701_Thanks Aviva Atri,1129,1107
Total Events of Sent,1088_Happy Birthday You Lovely Soul Lauren Marina Sun,1124,1083
Total Events of Sent,1823_Just A Note Amy Zhang,1124,1089
Total Events of Sent,2297_Happy Belated Birthday Aviva Atri,1113,1142
Total Events of Sent,2413_Here's Some Holiday Cheer - Green Paper Co.,1102,1108
Total Events of Sent,722_Happy Bday Analogbynat,1100,1099
Total Events of Sent,"2274_Sending Pieces, Love, And Joy this Thanksgiving Amy Zhang",1076,1076
Total Events of Sent,1668_Happy Birthday Dicky Bird Gaming,1064,1051
Total Events of Sent,2396_Merry Christmas Ladder - Green Paper Co,1012,1013
Total Events of Sent,1857_Happy Belated Birthday Melanie Johnsson,993,983
Total Events of Sent,2336_Happy B-day Balloon Melanie Johnsson,957,989
Total Events of Sent,1865_Happy Valentines Day Forage Paper Co,921,921
Total Events of Sent,1321_Happy Holidays Priyanka Darlin,915,914
Total Events of Sent,1676_Thank You Adelfi Oranges,890,866
Total Events of Sent,1685_Birthday Beers Matt Joyce,868,855
