Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:42AM"
Total Events of Sent,1005_Birthday Cake AliRae Aguirre,86
Total Events of Sent,1007_Happy Birthday AliRae Aguirre Floral,1314
Total Events of Sent,1009_Happy Whatever and Stuff AliRae Aguirre,43
Total Events of Sent,1015_Another Year In The Books Forage Paper Co.,108
Total Events of Sent,1020_Happy Birthday Handsome Forage Paper Co.,166
Total Events of Sent,1029_Better Late Than Never Amy Zhang,476
Total Events of Sent,1033_You're A Classic Amy Zhang,726
Total Events of Sent,1035_Enjoy Kevin Adams,52
Total Events of Sent,1044_Best Grandpa Jasmina Zornic,119
Total Events of Sent,1045_Best Grandma Jasmina Zornic,59
Total Events of Sent,1060_Another Trip Around The Sun Adelfi,1414
Total Events of Sent,106_Happy birthday Best Tea jaclyn Caris,328
Total Events of Sent,1071_Party Jacqueline Colley Confetti Popper,198
Total Events of Sent,1075_Happy Birthday To A Real Playa Spaghetti & Meatballs Record Player,320
Total Events of Sent,"1080_Hey Mom, I'm Annoying But I Love You Giulia Hartz Cake",257
Total Events of Sent,1088_Happy Birthday You Lovely Soul Lauren Marina Sun,989
Total Events of Sent,1100_Hope Your Birthday Is Jam-Packed With Love Amy Zhang Bread and Jam,1206
Total Events of Sent,1108_Happy Birthday 21! paper&stuff,28
Total Events of Sent,1112_It Is Your Birthday paper&stuff,465
Total Events of Sent,1114_Birth Yay! paper&co,1370
Total Events of Sent,1121_Happy Birthday 30! paper&stuff,28
Total Events of Sent,1150_Let's Party Adelfi,52
Total Events of Sent,1158_Happy Birthday Oscar De La Cruz Blocks,300
Total Events of Sent,1160_Happy Birthday Priyanka Darlin' Spotted,2167
Total Events of Sent,1163_Surpriiise Priyanka Darlin',7
Total Events of Sent,1166_HBD Mat Voyce Animation,305
Total Events of Sent,1172_Have The Sweetest Birthday Ashley Le Quere,806
Total Events of Sent,1175_Happy Birth Month paper&stuff,28
