Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:43AM"
Total Events of Sent,1000_Have A Heart Zoe Wodarz,84
Total Events of Sent,1001_Dream Date Zoe Wodarz hearts,128
Total Events of Sent,1039_Love Kevin Adams,31
Total Events of Sent,1042_Love You Jasmina Zornic,32
Total Events of Sent,1061_Another Year Cuffed Hood Greetings,16
Total Events of Sent,1062_I Love You No Cap Hood Greetings,84
Total Events of Sent,1063_You + Me Name A More Iconic Duo Hood Greetings,184
Total Events of Sent,1065_You're The Only Person I Want To Share Memes With Hood Greetings,36
Total Events of Sent,1067_Thanks For Sliding Into My DMs Hood Greetings,25
Total Events of Sent,1072_You MEME The World To Me Spaghetti & Meatballs,45
Total Events of Sent,107_Let's Get Knotty jaclyn Caris,12
Total Events of Sent,110_Candy Hearts Ash & Chess,2
Total Events of Sent,1113_You & Me paper&stuff,19
Total Events of Sent,1116_Love Ya! paper&stuff,77
Total Events of Sent,1117_You're Cute paper&stuff,10
Total Events of Sent,1119_Pattern Hearts paper&stuff,26
Total Events of Sent,111_I Love you in a Gay Way Ash & Chess,31
Total Events of Sent,1145_Dear Bestie You Deserve The World I Hope You Know That Yolanda Poh,166
Total Events of Sent,115_Met on the Internet Ash & Chess,9
Total Events of Sent,1168_Love Mat Voyce Animation,11
Total Events of Sent,116_Obsessed with you Ash & Chess,6
Total Events of Sent,1173_Let's Canoodle Ashley Le Quere,36
Total Events of Sent,118_Wanna get with you Ash & Chess,11
Total Events of Sent,1225_I Love You Sophie Potter,18
Total Events of Sent,124_You Are Amazing and I Love You Hue Complete Me,460
Total Events of Sent,1259_Partners In Crime Ashley Le Quere Handcuffs,47
Total Events of Sent,1277_Save The Date Melanie Johnsson,1
Total Events of Sent,130_Big Hearts Spaghetti & Meatballs,4
Total Events of Sent,134_Gals Before Guys Melanie Johnsson,10
Total Events of Sent,135_Love Love Love Melanie Johnsson,24
Total Events of Sent,1366_I Love You So Much! Hemlock House Studio,110
Total Events of Sent,1367_It's Always Been You Hemlock House Studio,9
Total Events of Sent,1368_Let's Party Hemlock House Studio,76
Total Events of Sent,136_To Do List,11
Total Events of Sent,1372_Tokens Of My Love Hemlock House Studio,24
Total Events of Sent,1374_You Are Magic Hemlock House Studio Butterfly,22
Total Events of Sent,1375_Your Friendship Means So Much To Me Hemlock House Studio,70
Total Events of Sent,137_Love You To The Moon Melanie Johnsson,33
Total Events of Sent,1396_I'd Take Any Rush Hour Train For You Poketo,1
Total Events of Sent,1411_Happy Valentine's Day Clay Hickson,137
Total Events of Sent,1415_I Heart You Angelope Design Heart,67
Total Events of Sent,1426_You Me Angelope Design Peas,25
Total Events of Sent,1430_Perfect Together Oscar De La Cruz Cookies Milk,124
Total Events of Sent,1431_You're The Sweetest Valentine Faye Guanipa Lollipop,384
Total Events of Sent,1432_Chocolate Faye Guanipa Frog,15
Total Events of Sent,1433_Pattern Faye Guanipa Love Letters,51
Total Events of Sent,1434_I Love You More Than Cake Faye Guanipa Cake,4
Total Events of Sent,1435_You've Got My Heart Melanie Johnsson Angels,3
Total Events of Sent,1438_Love You Date Night Tonight? Melanie Johnsson,29
Total Events of Sent,1439_For You Melanie Johnsson Flowers,421
Total Events of Sent,143_On Repeat Taylor Stimbert,14
